年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,TV放送,id
2016,Ｊ２,第８節第２日,04/17(日),14:04,山形,1-1,札幌,ＮＤスタ,4,871,スカパー！／スカパー！プレミアムサービス／ＮＨＫ山形,18283
2016,Ｊ２,第８節第２日,04/17(日),16:03,千葉,1-1,町田,フクアリ,7,986,スカパー！／スカパー！プレミアムサービス,18284
2016,Ｊ２,第８節第２日,04/17(日),16:05,Ｃ大阪,1-1,北九州,ヤンマー,18,809,スカパー！／スカパー！プレミアムサービス,18286
2016,Ｊ２,第８節第２日,04/17(日),17:03,横浜FC,1-1,東京Ｖ,ニッパツ,3,238,スカパー！／スカパー！プレミアムサービス,18287
2016,Ｊ２,第９節第１日,04/23(土),13:03,山口,4-2,千葉,維新公園,5,159,スカパー！／スカパー！プレミアムサービス／山口朝日放送,18290
2016,Ｊ２,第９節第１日,04/23(土),13:03,町田,1-0,長崎,町田,4,431,スカパー！／スカパー！プレミアムサービス,18289
2016,Ｊ２,第９節第１日,04/23(土),13:04,札幌,1-0,Ｃ大阪,札幌ド,21,640,スカパー！／スカパー！プレミアムサービス／テレビ北海道,18288
2016,Ｊ２,第９節第１日,04/23(土),14:03,東京Ｖ,0-3,水戸,駒沢,3,999,スカパー！／スカパー！プレミアムサービス,18292
2016,Ｊ２,第９節第１日,04/23(土),16:03,金沢,1-2,岐阜,石川西部,3,008,スカパー！／スカパー！プレミアムサービス,18293
2016,Ｊ２,第９節第１日,04/23(土),16:03,北九州,1-2,清水,本城,2,589,スカパー！／スカパー！プレミアムサービス,18296
2016,Ｊ２,第９節第１日,04/23(土),16:04,愛媛,1-0,讃岐,ニンスタ,4,323,スカパー！／スカパー！プレミアムサービス,18295
2016,Ｊ２,第９節第１日,04/23(土),16:04,京都,0-1,徳島,西京極,4,731,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18294
2016,Ｊ２,第９節第１日,04/23(土),18:34,松本,2-1,群馬,松本,12,034,スカパー！／スカパー！プレミアムサービス,18297
2016,Ｊ２,第９節第１日,04/23(土),19:03,岡山,0-1,山形,Ｃスタ,8,256,スカパー！／スカパー！プレミアムサービス,18298
2016,Ｊ２,第１０節第１日,04/29(金・祝),13:05,長崎,1-3,横浜FC,長崎県立,5,729,スカパー！／スカパー！プレミアムサービス／ＮＨＫ長崎,18300
2016,Ｊ２,第１０節第１日,04/29(金・祝),13:05,讃岐,1-1,北九州,ピカスタ,3,365,スカパー！／スカパー！プレミアムサービス,18299
2016,Ｊ２,第１０節第１日,04/29(金・祝),14:03,札幌,1-0,徳島,札幌ド,14,186,スカパー！／スカパー！プレミアムサービス／ＮＨＫ札幌,18301
2016,Ｊ２,第１０節第１日,04/29(金・祝),14:04,岐阜,1-2,山口,長良川,6,058,スカパー！／スカパー！プレミアムサービス／岐阜放送,18302
2016,Ｊ２,第１０節第１日,04/29(金・祝),14:04,岡山,2-2,町田,Ｃスタ,9,170,スカパー！／スカパー！プレミアムサービス／山陽放送,18303
2016,Ｊ２,第１０節第１日,04/29(金・祝),16:04,Ｃ大阪,0-2,京都,金鳥スタ,14,883,スカパー！／スカパー！プレミアムサービス,18305
2016,Ｊ２,第１０節第１日,04/29(金・祝),17:04,清水,4-1,金沢,アイスタ,11,057,スカパー！／スカパー！プレミアムサービス,18307
2016,Ｊ２,第１０節第１日,04/29(金・祝),17:04,水戸,1-0,千葉,Ｋｓスタ,6,042,スカパー！／スカパー！プレミアムサービス,18306
2016,Ｊ２,第１０節第１日,04/29(金・祝),19:04,愛媛,0-0,松本,ニンスタ,4,235,スカパー！／スカパー！プレミアムサービス,18308
2016,Ｊ２,第１０節第１日,04/29(金・祝),19:34,群馬,2-2,東京Ｖ,正田スタ,3,234,スカパー！／スカパー！プレミアムサービス,18309
2016,Ｊ２,第１１節第１日,05/03(火・祝),13:03,横浜FC,0-2,岡山,日産ス,5,561,スカパー！／スカパー！プレミアムサービス,18310
2016,Ｊ２,第１１節第１日,05/03(火・祝),13:03,山口,2-0,群馬,維新公園,4,332,スカパー！／スカパー！プレミアムサービス,18313
2016,Ｊ２,第１１節第１日,05/03(火・祝),13:03,金沢,0-1,札幌,石川西部,4,623,スカパー！／スカパー！プレミアムサービス／北陸放送（録）,18312
2016,Ｊ２,第１１節第１日,05/03(火・祝),13:04,徳島,1-0,水戸,鳴門大塚,3,698,スカパー！／スカパー！プレミアムサービス,18314
2016,Ｊ２,第１１節第１日,05/03(火・祝),13:04,松本,0-1,Ｃ大阪,松本,17,302,スカパー！／スカパー！プレミアムサービス,18311
2016,Ｊ２,第１１節第１日,05/03(火・祝),14:03,北九州,2-2,長崎,本城,3,219,スカパー！／スカパー！プレミアムサービス,18315
2016,Ｊ２,第１１節第１日,05/03(火・祝),15:03,町田,1-1,岐阜,町田,6,034,スカパー！／スカパー！プレミアムサービス,18316
2016,Ｊ２,第１１節第１日,05/03(火・祝),15:04,京都,2-1,清水,西京極,8,140,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18317
2016,Ｊ２,第１１節第１日,05/03(火・祝),16:03,東京Ｖ,0-1,山形,味スタ,5,515,スカパー！／スカパー！プレミアムサービス,18319
2016,Ｊ２,第１１節第１日,05/03(火・祝),16:04,千葉,1-1,讃岐,フクアリ,11,439,スカパー！／スカパー！プレミアムサービス,18318
2016,Ｊ２,第１２節第１日,05/07(土),13:03,讃岐,0-1,町田,ピカスタ,2,739,スカパー！／スカパー！プレミアムサービス,18322
2016,Ｊ２,第１２節第１日,05/07(土),13:03,水戸,1-1,北九州,Ｋｓスタ,3,917,スカパー！／スカパー！プレミアムサービス,18321
2016,Ｊ２,第１２節第１日,05/07(土),13:05,徳島,0-3,横浜FC,鳴門大塚,4,313,スカパー！／スカパー！プレミアムサービス,18323
2016,Ｊ２,第１２節第１日,05/07(土),16:03,長崎,0-3,岡山,長崎県立,4,015,スカパー！／スカパー！プレミアムサービス,18327
2016,Ｊ２,第１２節第１日,05/07(土),16:03,東京Ｖ,0-4,松本,味スタ,8,664,スカパー！／スカパー！プレミアムサービス,18325
2016,Ｊ２,第１２節第１日,05/07(土),16:04,山形,3-1,群馬,ＮＤスタ,5,362,スカパー！／スカパー！プレミアムサービス,18324
2016,Ｊ２,第１２節第１日,05/07(土),16:04,京都,1-1,千葉,西京極,5,529,スカパー！／スカパー！プレミアムサービス／ＫＢＳ京都（録）,18326
2016,Ｊ２,第１２節第１日,05/07(土),18:33,山口,0-1,金沢,維新公園,6,339,スカパー！／スカパー！プレミアムサービス,18328
2016,Ｊ２,第１２節第１日,05/07(土),19:04,愛媛,0-0,Ｃ大阪,ニンスタ,7,740,スカパー！／スカパー！プレミアムサービス,18330
2016,Ｊ２,第１２節第２日,05/08(日),18:04,岐阜,1-1,清水,長良川,6,124,スカパー！／スカパー！プレミアムサービス／岐阜放送（録）,18331
